meanTemp,TotPrecip,TotSnow,Max24hrPrecip,Max24hrSnow
58,8.77,0,4.12,0
70.5,3.06,0,1.22,0
74.7,4.43,0,1.19,0
74.6,1.6,0,0.64,0
62.1,1.22,0,0.54,0
53.2,5.18,0,2.81,0
44.5,1.68,0,0.81,0
39.5,2.93,3.7,0.92,2.1
24.3,1.12,7,0.2,1.9
32.8,1.83,12.9,0.54,5.7
40.3,2.29,3.7,0.92,1.9
49.2,1.62,2,0.78,2
59.2,3.36,0,1.55,0
64.8,3.94,0,0.94,0
73.5,3.51,0,1.05,0
70.3,6.67,0,3.58,0
65.4,3,0,1.19,0
55.4,1.65,0,0.37,0
45.4,6.39,3,2.24,1.3
31.3,1.21,1.3,0.35,0.6
31.4,3.42,0.8,0.82,0.4
28.8,2.83,10.4,0.72,3.5
40.7,3.42,2.6,1.79,2
48.4,1.59,0,0.37,0
58.4,1.31,0,0.37,0
66,7.74,0,2.98,0
